brand,category,subcategory,type,scope,state
angryorchard,alcohol,,cider,national,
bacardi,alcohol,,liquor,national,
budweiser,alcohol,,beer,national,
coors,alcohol,,beer,national,
corona,alcohol,,beer,national,
crownroyal,alcohol,,liquor,national,
highnoon,alcohol,,seltzer,national,
newbelgium,alcohol,,beer,local,CO
odells,alcohol,,beer,local,CO
smirnoff,alcohol,,liquor,national,
scrumpys,alcohol,,cider,local,CO
titos,alcohol,,liquor,national,
topochico,alcohol,,seltzer,national,
truly,alcohol,,seltzer,national,
whiteclaw,alcohol,,seltzer,national,
deltadirt,alcohol,,liquor,local,AR
lostforty,alcohol,,beer,local,AR
scarlettletter,alcohol,,seltzer,local,AR
benjerry,athome,,,national,
coke,athome,,,national,
campbell,athome,,,national,
chocolove,athome,,,local,CO
generalmills,athome,,,national,
hershey,athome,,,national,
impossible,athome,,,national,
kellogg,athome,,,national,
kraft,athome,,,national,
larabar,athome,,,local,CO
nestle,athome,,,national,
pepsico,athome,,,national,
pueblochiles,athome,,,local,CO
tyson,athome,,,national,
loblolly,athome,,,local,AR
mybrosalsa,athome,,,local,AR
onyx,athome,,,local,AR
burgerking,awayhome,fastfood,burger,national,
chickfila,awayhome,fastfood,chicken,national,
chipotle,awayhome,fastcasual,mexican,national,
crackerbarrel,awayhome,restaurant,breakfast,national,
denverbiscuit,awayhome,restaurant,breakfast,local,CO
dominos,awayhome,fastfood,pizza,national,
firehouse,awayhome,fastcasual,sandwich,national,
fiveguys,awayhome,fastfood,burger,national,
illegalpete,awayhome,fastcasual,mexican,local,CO
jimmyjohns,awayhome,fastfood,sandwich,national,
kfc,awayhome,fastfood,chicken,national,
mcdonalds,awayhome,fastfood,all,national,
musiccity,awayhome,fastfood,chicken,local,CO
panera,awayhome,fastcasual,health,national,
papajohns,awayhome,fastfood,pizza,national,
popeyes,awayhome,fastfood,chicken,national,
raisingcanes,awayhome,fastfood,chicken,national,
sonic,awayhome,fastfood,all,national,
starbucks,awayhome,fastfood,coffee,national,
subway,awayhome,fastfood,sandwich,national,
sweetgreen,awayhome,fastcasual,health,national,
tacobell,awayhome,fastfood,mexican,national,
wafflehouse,awayhome,restaurant,breakfast,national,
wrightsbbq,awayhome,restaurant,bbq,local,AR
