duration,responseId,Angry Orchard,Bacardi,Budweiser,Coors Light,Corona,Crown Royal,Delta Dirt,High Noon,Lost Forty Brewing,Scarlett Letter,Smirnoff,Titos,Topo Chico Seltzer,Truly,White Claw,Ben & Jerry's,Coca-Cola,Campbell,General Mills,Hershey,Impossible Burger,Kellogg,Kraft,Loblolly Creamery,My Brother's Salsa,Nestle,Onyx Coffee,Pepsico,Tyson,Burger King,Chick-fil-A,Chipotle,Cracker Barrel,Domino's,Firehouse Subs,Five Guys Burgers and Fries,Jimmy John's,KFC,Mcdonald's,Panera Bread,Papa John's,Popeyes,Raising Cane's Chicken Fingers,Sonic Drive-In,Starbucks,Subway,Sweetgreen,Taco Bell,Waffle House,Wright's BBQ,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q13,Q14,Q15,Q16,Q17,Q18,Q19_1,Q21_1,Q21_2,Q21_3,Q21_4,Q23_1,Q23_2,Q23_3,Q23_4
966,R_7aPMqjXx8xXMbLy,,,4,4,4,4,,,5,,,,,,,2,3,4,3,5,,,,2,2,4,,4,4,4,5,2,4,3,2,2,3,4,4,2,2,4,5,3,4,2,3,4,3,,6,4,3,3,6,No,White or Caucasian,,,,3,"$25,000-$49,999",72956,65+ years old,Female,Republican,5,4,3,4,3,2,3,1,2
1049,R_7d0Tsp5KEj44fq8,,2,2,2,2,2,5,5,5,5,1,5,5,5,5,,,,2,2,5,,,5,5,,5,3,1,,1,,1,1,1,3,,,2,4,4,4,5,1,,,5,2,1,5,7,7,7,7,7,No,White or Caucasian,,,,3,"$100,000-$149,999",72110,35-44 years old,Female,Republican,7,1,5,5,5,2,1,5,5
3287,R_6WSimbFbKoTepcR,1,1,3,2,,,,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,2,2,2,,2,2,2,,2,2,2,2,3,2,,2,2,2,2,3,5,4,5,3,No,,Black or African American,,,3,Prefer not to say,71603,65+ years old,Male,Democrat,6,3,5,3,4,2,4,1,2
709,R_7QE3M0UlGXtYiLe,1,2,5,3,3,5,3,3,1,1,3,3,1,1,1,3,5,3,3,3,1,3,5,1,1,3,1,1,,3,5,5,5,4,,2,3,5,5,3,2,5,2,5,1,5,1,5,3,3,6,4,4,5,4,No,White or Caucasian,,,,3,"$100,000-$149,999",72058,45-54 years old,Female,Republican,5,3,1,1,2,5,1,1,2
231,R_70Ms8tt2q5zpIo4,,2,5,2,4,2,1,4,5,2,5,1,5,4,2,4,1,5,2,5,5,1,2,4,2,4,1,1,5,5,2,4,2,2,1,5,1,2,1,2,2,5,5,4,1,5,1,4,2,5,2,6,1,7,1,No,,Black or African American,,,3,"$75,000-$99,999",72204,35-44 years old,Male,Democrat,6,3,2,4,2,3,2,5,2
1030,R_6PBV9sK7zes0tIB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,4,2,5,1,,5,5,5,2,5,5,5,2,5,5,,4,4,,5,4,,,,,,,7,4,6,6,7,No,,Black or African American,,,4,"Less than $25,000",72034,55-64 years old,Female,Democrat,4,4,3,4,5,5,3,5,5
444,R_1uEcAKfiPZqvr1V,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,1,5,5,3,,5,1,5,5,5,,,5,,5,5,,5,4,,,,,,,,,,,,5,6,6,5,5,No,White or Caucasian,,,,4,"$100,000-$149,999",72712,65+ years old,Male,Republican,6,2,4,4,4,2,2,4,5
971,R_1VaP3qi0yY8qUDc,4,2,2,2,2,2,4,2,5,4,2,4,4,,2,5,2,2,4,2,4,1,,,2,4,2,2,1,2,1,4,2,4,4,4,,3,2,,2,2,5,,1,2,4,,4,2,5,7,5,7,6,No,White or Caucasian,,,,4,"$50,000-$74,999",72401,25-34 years old,Non-binary / third gender,No preference,1,1,1,1,4,5,5,1,1
842,R_6tJAGp1GrhNAYF3,1,,,2,4,4,2,2,2,2,,4,2,2,2,4,4,4,4,3,3,4,4,3,3,3,,2,3,1,3,4,4,4,2,4,2,3,1,3,4,4,3,4,2,4,2,2,5,,7,7,7,7,7,No,White or Caucasian,,,,4,"$25,000-$49,999",72419,45-54 years old,Female,Independent,3,1,1,4,4,5,5,4,1
909,R_6dl7KXpxNGdc7qF,4,3,4,3,3,4,3,3,3,3,4,,,,3,3,4,3,3,3,2,3,,4,,,,,2,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,2,2,3,3,,4,6,4,3,3,3,No,White or Caucasian,,,,4,"$100,000-$149,999",72120,35-44 years old,Female,Democrat,3,2,2,1,3,4,5,1,1
