duration,responseId,Q4_0_GROUP,Q4_1_GROUP,Q4_2_GROUP,Q5_0_GROUP,Q5_1_GROUP,Q5_2_GROUP,Q6_0_GROUP,Q6_1_GROUP,Q6_2_GROUP,angryorchard,bacardi,budweiser,coors,corona,crownroyal,highnoon,newbelgium,odells,smirnoff,scrumpys,titos,topochico,truly,whiteclaw,benjerry,coke,campbell,chocolove,generalmills,hershey,impossible,kellogg,kraft,larabar,nestle,pepsico,pueblochiles,tyson,burgerking,chickfila,chipotle,crackerbarrel,denverbiscuit,dominos,firehouse,fiveguys,illegalpete,jimmyjohns,kfc,mcdonalds,musiccity,panera,papajohns,popeyes,raisingcanes,sonic,starbucks,subway,sweetgreen,tacobell,wafflehouse,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q17_4_TEXT,Q18,Q18_4_TEXT,Q19_1,Q21_1,Q21_2,Q21_3,Q21_4,Q23_1,Q23_2,Q23_3,Q23_4,Q_TotalDuration,Race
294,R_1F8jyNHfvaGa6tk,"Angry Orchard,Coors Light","Crown Royal,Smirnoff","Titos,Bacardi","Burger King,Mcdonald's","Popeyes,KFC","Domino's,Papa John's","Pepsico,Coca-Cola","Hershey,Nestle","Kellogg,Kraft",3,3,,3,2,,2,2,,2,2,2,2,,,2,2,3,2,3,,2,,3,3,3,,3,,3,3,3,3,,3,3,3,3,,3,3,,3,,,3,3,3,3,3,3,,3,2,4,3,2,No,American Indian/Native American or Alaska Native,High school diploma or GED,"Less than $25,000",80110,18-24 years old,Female,,No preference,,4,3,3,3,3,3,3,3,3,294,NativeorOther
642,R_7IRHiyoGFjpcnBE,"Angry Orchard,White Claw,Scrumpys Cider,Truly,Topo Chico Seltzer","Bacardi,Smirnoff,High Noon,Crown Royal,Titos","Budweiser,Odells,New Belgium,Corona,Coors Light","Burger King,CAVA,KFC,Mcdonald's,Popeyes,Taco Bell,Starbucks,Chick-fil-A","Denver Biscuit Co,Music City Hot Chicken,Chipotle,Domino's,Papa John's,Firehouse Subs,Illegal Pete's,Cracker Barrel,Subway,Sonic Drive-In,Raising Cane's Chicken Fingers,Five Guys Burgers and Fries,Jimmy John's,Waffle House","Panera Bread,Sweetgreen","Pueblo Chiles,Kraft,Coca-Cola,Kellogg,General Mills","Impossible Burger,Ben & Jerry's,Campbell,Tyson","Pepsico,Nestle,Chocolove,Hershey,Larabar",5,1,4,4,4,3,3,4,4,2,4,2,4,5,5,4,1,4,3,4,4,2,4,4,3,4,1,5,4,2,1,3,1,5,3,3,4,5,4,2,1,,1,3,1,2,2,4,3,5,1,1,7,7,6,5,5,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$50,000-$74,999",80206,65+ years old,Male,,Independent,,2,1,1,1,1,5,5,1,1,642,W
525,R_3nV1mdZEJyizkdJ,"Smirnoff,Titos,Crown Royal,Bacardi","New Belgium,Budweiser,Coors Light,Corona,Odells,High Noon","Angry Orchard,Scrumpys Cider,White Claw,Topo Chico Seltzer,Truly","Burger King,Sonic Drive-In,Domino's,Five Guys Burgers and Fries,Mcdonald's","Jimmy John's,Cracker Barrel,CAVA,Illegal Pete's,KFC,Firehouse Subs,Music City Hot Chicken,Panera Bread,Chick-fil-A,Popeyes,Denver Biscuit Co,Raising Cane's Chicken Fingers,Starbucks,Sweetgreen","Papa John's,Waffle House,Subway,Taco Bell,Chipotle","Impossible Burger,Tyson,Ben & Jerry's","Kellogg,Campbell,General Mills,Pueblo Chiles,Hershey,Larabar,Kraft,Nestle,Chocolove","Pepsico,Coca-Cola",2,3,1,1,1,1,3,4,4,4,1,1,1,1,3,3,4,4,2,3,3,2,3,3,3,3,2,3,3,4,1,4,3,5,2,4,4,2,4,3,2,,2,2,2,3,3,4,4,2,4,4,6,6,6,6,6,No,White or Caucasian,Bachelor’s degree,"$150,000 or more",81623,65+ years old,Female,,Democrat,,2,2,2,2,3,5,5,1,1,525,W
312,R_75HDHvgEhnjzszv,"Crown Royal,Smirnoff","Corona,Bacardi","Topo Chico Seltzer,Coors Light","Cracker Barrel,Chick-fil-A","Firehouse Subs,Five Guys Burgers and Fries","Mcdonald's,Panera Bread","Campbell,Chocolove","Larabar,Kraft","Nestle,Pueblo Chiles",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,3,4,2,4,4,1,4,4,1,4,4,4,1,2,2,2,2,2,2,2,5,5,1,2,1,1,1,5,3,5,2,5,4,3,3,4,3,3,No,White or Caucasian,"Some college, but no degree","Less than $25,000",81050,45-54 years old,Female,,Independent,,3,2,2,2,2,2,2,2,2,312,W
831,R_37mrY6ErgkWIrgD,"Crown Royal,Smirnoff","Angry Orchard,Scrumpys Cider","Budweiser,Corona","Burger King,Mcdonald's","Jimmy John's,Firehouse Subs","Papa John's,Domino's","Pepsico,Coca-Cola","Kellogg,General Mills","Hershey,Chocolove",4,2,,,,2,,2,,2,4,,,,,4,4,5,4,4,4,,4,5,,4,5,,4,,4,4,5,,,4,,2,4,5,,2,2,4,4,,4,2,,,4,,5,4,3,3,4,No,White or Caucasian,"Some college, but no degree","$50,000-$74,999",80004,65+ years old,Male,,Democrat,,3,3,3,3,4,2,3,3,4,831,W
11630,R_7kRlFcBoA74CsL4,"Truly,White Claw","Budweiser,Corona","Bacardi,Crown Royal","Papa John's,Domino's","Subway,Jimmy John's","Waffle House,Cracker Barrel","Nestle,Hershey","General Mills,Kellogg","Coca-Cola,Pepsico",4,4,4,4,5,5,3,3,3,4,4,3,3,4,4,5,4,4,3,5,5,4,5,4,4,4,4,5,4,3,4,5,5,4,4,4,4,4,5,4,3,4,4,4,4,4,3,5,4,4,3,5,4,1,1,1,1,No,White or Caucasian,High school diploma or GED,"$100,000-$149,999",81003,55-64 years old,Female,,Independent,,6,3,1,1,1,5,5,3,1,11630,W
649,R_3qmAdD3ANKK7uWV,"White Claw,Topo Chico Seltzer,Truly,High Noon,Angry Orchard,Scrumpys Cider","New Belgium,Budweiser,Corona,Odells,Coors Light","Titos,Crown Royal,Bacardi,Smirnoff","Burger King,Raising Cane's Chicken Fingers,Chick-fil-A,Domino's,Popeyes,Starbucks,Subway,Taco Bell,Five Guys Burgers and Fries,Papa John's,Sonic Drive-In,KFC,Mcdonald's","Waffle House,Cracker Barrel,Music City Hot Chicken,CAVA,Firehouse Subs,Panera Bread,Jimmy John's,Chipotle","Denver Biscuit Co,Illegal Pete's,Sweetgreen","Ben & Jerry's,Chocolove,Hershey,Larabar","Impossible Burger,Kellogg,Campbell,Pueblo Chiles,General Mills,Tyson","Coca-Cola,Kraft,Nestle,Pepsico",4,2,1,1,1,,,5,4,4,4,4,5,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5,5,5,5,5,1,5,1,5,5,1,5,5,1,5,7,7,7,7,7,No,White or Caucasian,Bachelor’s degree,Prefer not to say,80921,25-34 years old,Female,,Republican,,6,2,4,3,1,3,3,1,1,649,W
632,R_5KD88JFFRoVheAJ,"Bacardi,Crown Royal","Angry Orchard,Smirnoff","Odells,Corona","Chick-fil-A,Five Guys Burgers and Fries","Papa John's,Panera Bread","Waffle House,Mcdonald's","Ben & Jerry's,Hershey","Kellogg,Chocolove","Impossible Burger,Pueblo Chiles",2,4,1,1,1,5,1,1,1,5,1,5,1,1,1,5,2,4,5,1,5,4,2,2,1,5,1,1,4,2,5,4,4,,2,1,5,1,4,1,4,,5,5,4,1,5,4,4,1,4,1,5,6,7,6,6,No,White or Caucasian,High school diploma or GED,"$75,000-$99,999",80840,35-44 years old,Female,,Democrat,,5,3,2,3,3,4,5,1,1,632,W
363,R_3ZNQUbtd39gjzDk,"Angry Orchard,Corona,Odells,New Belgium,High Noon,Scrumpys Cider,Budweiser,Coors Light","Bacardi,Titos,Smirnoff,Crown Royal","Truly,White Claw,Topo Chico Seltzer","Five Guys Burgers and Fries,CAVA,Music City Hot Chicken,Cracker Barrel,Waffle House,Papa John's,Domino's","Panera Bread,Denver Biscuit Co,Sweetgreen,Subway,Starbucks,Chipotle","Raising Cane's Chicken Fingers,Sonic Drive-In,Jimmy John's,Popeyes,Illegal Pete's,Firehouse Subs,Taco Bell,KFC,Chick-fil-A,Mcdonald's,Burger King","Larabar,Ben & Jerry's,Pueblo Chiles,Impossible Burger","Nestle,Pepsico,Tyson,Kraft,Kellogg,Hershey,Chocolove,Campbell","General Mills,Coca-Cola",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,5,1,1,4,No,White or Caucasian,"Some college, but no degree","$50,000-$74,999",80918,35-44 years old,Female,,Democrat,,5,2,2,2,2,5,5,1,1,363,W
897,R_5eQFICF0hYssLzD,"Bacardi,Corona","Crown Royal,Smirnoff","Budweiser,White Claw","Raising Cane's Chicken Fingers,Subway","Sonic Drive-In,Chipotle","KFC,Starbucks","Tyson,Pueblo Chiles,Ben & Jerry's","Kraft,Coca-Cola,Hershey","Nestle,Campbell,Kellogg,Impossible Burger",1,5,4,1,5,5,1,1,1,5,1,1,1,1,3,5,5,4,3,3,5,4,4,5,1,5,4,5,5,4,4,5,2,2,5,3,4,2,2,5,4,2,2,4,4,5,5,5,5,1,4,2,7,1,2,6,6,Yes,White or Caucasian,"Some college, but no degree","Less than $25,000",80301,45-54 years old,Female,,Democrat,,7,1,1,1,1,5,5,1,1,897,H
