ResponseId,,Q4_0_35_RANK,Q4_0_36_RANK,Q4_0_37_RANK,Q4_0_38_RANK,Q4_0_39_RANK,Q4_0_40_RANK,Q4_0_41_RANK,Q4_0_51_RANK,Q4_0_50_RANK,Q4_0_44_RANK,Q4_0_52_RANK,Q4_0_46_RANK,Q4_0_47_RANK,Q4_0_48_RANK,Q4_0_49_RANK,Q4_1_35_RANK,Q4_1_36_RANK,Q4_1_37_RANK,Q4_1_38_RANK,Q4_1_39_RANK,Q4_1_40_RANK,Q4_1_41_RANK,Q4_1_51_RANK,Q4_1_50_RANK,Q4_1_44_RANK,Q4_1_52_RANK,Q4_1_46_RANK,Q4_1_47_RANK,Q4_1_48_RANK,Q4_1_49_RANK,Q4_2_35_RANK,Q4_2_36_RANK,Q4_2_37_RANK,Q4_2_38_RANK,Q4_2_39_RANK,Q4_2_40_RANK,Q4_2_41_RANK,Q4_2_51_RANK,Q4_2_50_RANK,Q4_2_44_RANK,Q4_2_52_RANK,Q4_2_46_RANK,Q4_2_47_RANK,Q4_2_48_RANK,Q4_2_49_RANK,Q5_0_47_RANK,Q5_0_48_RANK,Q5_0_49_RANK,Q5_0_50_RANK,Q5_0_51_RANK,Q5_0_73_RANK,Q5_0_52_RANK,Q5_0_53_RANK,Q5_0_54_RANK,Q5_0_74_RANK,Q5_0_56_RANK,Q5_0_57_RANK,Q5_0_59_RANK,Q5_0_71_RANK,Q5_0_61_RANK,Q5_0_62_RANK,Q5_0_63_RANK,Q5_0_64_RANK,Q5_0_65_RANK,Q5_0_66_RANK,Q5_0_67_RANK,Q5_0_68_RANK,Q5_0_69_RANK,Q5_0_70_RANK,Q5_1_47_RANK,Q5_1_48_RANK,Q5_1_49_RANK,Q5_1_50_RANK,Q5_1_51_RANK,Q5_1_73_RANK,Q5_1_52_RANK,Q5_1_53_RANK,Q5_1_54_RANK,Q5_1_74_RANK,Q5_1_56_RANK,Q5_1_57_RANK,Q5_1_59_RANK,Q5_1_71_RANK,Q5_1_61_RANK,Q5_1_62_RANK,Q5_1_63_RANK,Q5_1_64_RANK,Q5_1_65_RANK,Q5_1_66_RANK,Q5_1_67_RANK,Q5_1_68_RANK,Q5_1_69_RANK,Q5_1_70_RANK,Q5_2_47_RANK,Q5_2_48_RANK,Q5_2_49_RANK,Q5_2_50_RANK,Q5_2_51_RANK,Q5_2_73_RANK,Q5_2_52_RANK,Q5_2_53_RANK,Q5_2_54_RANK,Q5_2_74_RANK,Q5_2_56_RANK,Q5_2_57_RANK,Q5_2_59_RANK,Q5_2_71_RANK,Q5_2_61_RANK,Q5_2_62_RANK,Q5_2_63_RANK,Q5_2_64_RANK,Q5_2_65_RANK,Q5_2_66_RANK,Q5_2_67_RANK,Q5_2_68_RANK,Q5_2_69_RANK,Q5_2_70_RANK,Q6_0_108_RANK,Q6_0_105_RANK,Q6_0_110_RANK,Q6_0_102_RANK,Q6_0_100_RANK,Q6_0_107_RANK,Q6_0_101_RANK,Q6_0_106_RANK,Q6_0_99_RANK,Q6_0_103_RANK,Q6_0_98_RANK,Q6_0_96_RANK,Q6_0_104_RANK,Q6_0_97_RANK,Q6_1_108_RANK,Q6_1_105_RANK,Q6_1_110_RANK,Q6_1_102_RANK,Q6_1_100_RANK,Q6_1_107_RANK,Q6_1_101_RANK,Q6_1_106_RANK,Q6_1_99_RANK,Q6_1_103_RANK,Q6_1_98_RANK,Q6_1_96_RANK,Q6_1_104_RANK,Q6_1_97_RANK,Q6_2_108_RANK,Q6_2_105_RANK,Q6_2_110_RANK,Q6_2_102_RANK,Q6_2_100_RANK,Q6_2_107_RANK,Q6_2_101_RANK,Q6_2_106_RANK,Q6_2_99_RANK,Q6_2_103_RANK,Q6_2_98_RANK,Q6_2_96_RANK,Q6_2_104_RANK,Q6_2_97_RANK
R_1F8jyNHfvaGa6tk,,1,,,2,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,2,,,,,,,,,,1,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,1,,,,,2,,,,,,,,,,,1,2,,,,,
R_7IRHiyoGFjpcnBE,,1,,,,,,,,,,3,,5,4,2,,1,,,,4,3,,,2,,5,,,,,,1,5,4,,,3,2,,,,,,,1,2,8,,,,,,,,,3,4,,,,5,,,7,,,6,,,,,3,8,1,4,6,12,7,13,,,2,,5,,11,10,,9,,,14,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,3,5,,,4,2,,,,1,,2,3,,,,,1,,,,,,,4,,,3,,,4,,,,5,2,1,,
R_3nV1mdZEJyizkdJ,,,4,,,,3,,,,1,,2,,,,,,2,3,4,,6,1,5,,,,,,,1,,,,,,,,,,2,,4,5,3,1,,,,,,3,,4,,,,5,,,,,,2,,,,,,,3,9,,2,11,,6,,4,1,5,,7,8,,10,12,,13,,14,,,,,,5,,,,,,,,,,,,1,,,,,3,,4,2,3,,,,,,1,,,,,,,2,,2,9,,3,5,,1,7,6,8,,4,,,,,2,,,,,,,,1,,
R_75HDHvgEhnjzszv,,,,,,,1,,,,2,,,,,,,2,,,1,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,1,,2,
R_37mrY6ErgkWIrgD,,,,,,,1,,,,2,,,,,,1,,,,,,,,,,2,,,,,,,1,,2,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,1,,,,,,,2,,,1,,,,,,,,,2,,,1,,,,,,,,
R_7kRlFcBoA74CsL4,,,,,,,,,,,,,,,1,2,,,1,,2,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,1,,,,,,,,1,,,2,,,,,,,,,,1,,,,,,,,2,,
R_3qmAdD3ANKK7uWV,,5,,,,,,4,,,,6,,2,3,1,,,2,5,3,,,1,4,,,,,,,,3,,,,2,,,,4,,1,,,,1,,3,,,,4,,9,,,12,13,,,10,5,2,11,6,7,,8,,,4,,8,2,,,5,,,7,,,3,6,,,,,,,,,1,,,,,,1,,,,2,,,,,,,,,,,,3,,,1,,2,,,3,,,,4,,,,,,3,,,5,,1,2,,,,,4,6,,,,1,,,,,2,,3,4,,
R_5KD88JFFRoVheAJ,,,1,,,,2,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,2,,,,1,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,1,,,,,2,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,1,,,,,,2,
R_3ZNQUbtd39gjzDk,,1,,7,8,2,,5,4,3,,6,,,,,,1,,,,4,,,,3,,2,,,,,,,,,,,,,,,,3,1,2,,2,,,4,,7,,1,,,,,3,,6,,,,,,,,5,,,,6,,2,,,,,,,,,1,,,,,5,4,3,,,11,,9,,,,,6,,5,3,8,10,,,,4,1,2,,,,7,,2,,,,,,4,,,1,,,3,,,8,7,,,6,,5,4,,1,2,,3,,,,2,1,,,,,,,,,
R_5eQFICF0hYssLzD,,,1,,,2,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,3,,,,,,,,,,,,2,1,,,,2,,3,,,1,,,,,,,2,,,,,4,3,,,1,,,
